# movement patterns: 1 = diagonal left, 2 = diagonal right, 3 = straight down
# 4 = left-to-right, 5 = right-to-left, 6 = diagonal up-left, 7 = diagonal up-right
# 8 = left-to-right V, 9 = right-to-left V
#Horizontal screen edge: -18=left 18=right
#Vertical screen edge: 1=top 40=bot

# BMachineGun = GOB0
# YMachineGun = GOB1
# RMachineGun = GOB2
# BNet = GOB3
# YNet = GOB4
# RNet = GOB5
# BDPulse = 6
# YDPulse =7
# RDPulse =8
# BCascade =9
# YCascade =10
# RCascade =11
# BTrack =12
# YTrack =13
# RTrack =14
# BTrackNet =15
# YTrackNet =16
# RTrackNet =17
# BTri =18
# YTri =19
# RTri =20
# BBoss =21
# YBoss =22
# RBoss =23
# 3Boss =24
# 4Boss =25
# 5Boss =26
# Asteroid =27
# 28-39 are empty

#ship,time,x,y,movement,stop

#wave1, 3.5-10s
GOB14,65.5,-18,3,4,0
GOB13,65.5,18,6,5,0
GOB14,66,-18,3,4,0
GOB13,66,18,6,5,0
GOB14,66.5,-18,3,4,0
GOB13,66.5,18,6,5,0
GOB14,67,-18,3,4,0
GOB13,67,18,6,5,0
GOB14,67.5,-18,3,4,0
GOB13,67.5,18,6,5,0
GOB13,68,-18,3,4,0
GOB12,68,18,6,5,0
GOB13,68.5,-18,3,4,0
GOB12,68.5,18,6,5,0
GOB13,69,-18,3,4,0
GOB12,69,18,6,5,0
GOB13,69.5,-18,3,4,0
GOB12,69.5,18,6,5,0
GOB13,70,-18,3,4,0
GOB12,70,18,6,5,0
GOB13,70.5,-18,3,4,0
GOB12,70.5,18,6,5,0
GOB13,71,-18,3,4,0
GOB12,71,18,6,5,0
GOB13,71.5,-18,3,4,0
GOB12,71.5,18,6,5,0

#wave7
#74
GOB3,74,-18,0,3,1
GOB4,74.5,-15,0,3,1
GOB5,75,-12,0,3,1
GOB3,75.5,-9,0,3,1
GOB4,76,-6,0,3,1
GOB5,76.5,-3,0,3,1
GOB3,77,0,0,3,1
GOB4,77.5,3,0,3,1
GOB5,78,6,0,3,1
GOB3,78.5,9,0,3,1
GOB4,79,12,0,3,1
GOB5,79.5,15,0,3,1
GOB3,80,18,0,3,1
GOB4,81,-18,0,3,1
GOB5,81.5,-15,0,3,1
GOB3,82,-12,0,3,1
GOB4,82.5,-9,0,3,1
GOB5,83,-6,0,3,1
GOB3,83.5,-3,0,3,1
GOB4,84,0,0,3,1
GOB5,84.5,3,0,3,1
GOB3,85,6,0,3,1
GOB4,85.5,9,0,3,1
GOB5,86,12,0,3,1
GOB3,86.5,15,0,3,1
GOB4,87,18,0,3,1
GOB5,87,-18,0,3,1
GOB3,87.5,-15,0,3,1
GOB4,88,-12,0,3,1
GOB5,88.5,-9,0,3,1
GOB3,89,-6,0,3,1
GOB4,89.5,-3,0,3,1
GOB5,90,0,0,3,1
GOB3,90.5,3,0,3,1
GOB4,91,6,0,3,1
GOB5,91.5,9,0,3,1
GOB3,92,12,0,3,1
GOB4,92.5,15,0,3,1
GOB5,93,18,0,3,1

#wave8
#2s wait
#95



GOB25
